,id,current_price,market_cap,total_volume,price_change_percentage_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl_change_percentage,atl_date
87,link,224.74,1346858993,4620141.0,1.52917,2.2747,5976007.625662,6045959.0,,-23.24204,2021-04-01T22:19:00.034Z,24291.54602,2018-12-26T00:00:00.000Z
88,celsius-degree-token,3.11,1318186583,6314614.0,-1.45512,-0.05818,423415980.3475,695090076.6871,,-53.49267,2021-04-09T10:19:25.352Z,13416.75966,2018-12-07T00:00:00.000Z
89,celo,3.45,1281010602,109643484.0,6.13859,8.32869,367204495.0,1000000000.0,1000000000.0,-58.28931,2021-08-30T14:25:09.929Z,374.71462,2020-05-22T04:15:27.736Z
90,frax,0.883317,1224621038,17834646.0,-1.0177,3.06797,1375574681.90788,1375574681.90788,1375574681.90788,-5.94247,2021-02-07T12:55:35.766Z,14.20134,2021-05-19T13:13:57.891Z
91,ecomi,0.00507792,1208946268,8259254.0,-0.70162,-0.67063,237689829874.56,750000000000.0,,-54.91152,2021-03-19T17:20:53.999Z,168318.40077,2019-11-04T10:52:42.729Z
92,msol,170.14,1162341317,45068419.0,-0.67711,0.20544,6823626.87372475,6823626.87372475,6823626.87372475,-94.3565,2021-08-23T22:16:35.076Z,373.60859,2021-08-30T10:27:09.425Z
93,compound-governance-token,185.29,1157574527,98764396.0,-5.10923,-4.21222,6207546.664585085,10000000.0,10000000.0,-75.1833,2021-05-12T02:29:08.794Z,241.12189,2020-06-18T12:49:12.418Z
94,true-usd,0.881209,1136315047,89046920.0,-0.46138,-0.45323,1285618401.02385,1285618401.02385,,-36.57877,2018-08-26T20:41:09.375Z,21.57136,2021-05-19T13:15:08.268Z
95,nexo,2.02,1131281013,6596228.0,-2.08458,-0.35256,560000010.0064,1000000000.0,1000000000.0,-40.02248,2021-05-12T14:37:47.535Z,5101.49871,2018-09-13T00:00:00.000Z
96,nem,0.123117,1114518699,23222153.0,-3.40313,-2.83309,8999999999.0,8999999999.0,,-92.02172,2018-01-07T00:00:00.000Z,165656.40285,2015-08-25T00:00:00.000Z
97,spell-token,0.01386502,1080607417,144514806.0,-8.68487,-7.47041,77243327158.753,103214939480.85785,210000000000.0,-54.12158,2021-11-02T08:44:42.429Z,5406.40575,2021-08-05T13:00:27.077Z
98,mina-protocol,3.37,1069088517,24648848.0,-1.00035,-0.06307,316217891.840039,876731212.840039,,-54.65132,2021-06-01T01:42:37.064Z,328.63404,2021-07-21T02:30:02.124Z
99,iotex,0.109153,1054829392,98552448.0,10.08763,13.97658,9490829322.48387,9496266827.32,9496266827.32,-50.23754,2021-11-13T16:54:18.643Z,10123.43207,2020-03-13T02:29:47.597Z
